Date,T1,T2
2018-01-09-11:27:07,-0.033,-0.168
2018-01-09-11:27:12,-0.038,-0.165
2018-01-09-11:27:17,-0.033,-0.168
2018-01-09-11:27:22,-0.034,-0.169
2018-01-09-11:27:27,-0.034,-0.166
2018-01-09-11:27:32,-0.034,-0.167
2018-01-09-11:27:37,-0.034,-0.166
2018-01-09-11:27:42,-0.037,-0.162
2018-01-09-11:27:47,-0.037,-0.164
2018-01-09-11:27:52,-0.036,-0.165
2018-01-09-11:27:57,-0.033,-0.163
2018-01-09-11:28:02,-0.034,-0.164
2018-01-09-11:28:07,-0.034,-0.162
2018-01-09-11:28:12,-0.035,-0.163
2018-01-09-11:28:17,-0.034,-0.164
2018-01-09-11:28:22,-0.032,-0.162
2018-01-09-11:28:27,-0.034,-0.16
2018-01-09-11:28:32,-0.034,-0.164
2018-01-09-11:28:37,-0.033,-0.16
2018-01-09-11:28:42,-0.031,-0.163
2018-01-09-11:28:47,-0.035,-0.164
2018-01-09-11:28:52,-0.038,-0.162
2018-01-09-11:28:57,-0.034,-0.161
2018-01-09-11:29:02,-0.033,-0.163
2018-01-09-11:29:07,-0.033,-0.162
2018-01-09-11:29:12,-0.036,-0.161
2018-01-09-11:29:17,-0.033,-0.161
2018-01-09-11:29:22,-0.035,-0.158
2018-01-09-11:29:27,-0.038,-0.159
2018-01-09-11:29:32,-0.035,-0.16
2018-01-09-11:29:37,-0.033,-0.16
2018-01-09-11:29:42,-0.036,-0.158
2018-01-09-11:29:47,-0.035,-0.158
2018-01-09-11:29:52,-0.036,-0.158
2018-01-09-11:29:57,-0.033,-0.156
2018-01-09-11:30:02,-0.03,-0.157
2018-01-09-11:30:07,-0.033,-0.156
2018-01-09-11:30:12,-0.033,-0.155
2018-01-09-11:30:17,-0.033,-0.156
2018-01-09-11:30:22,-0.032,-0.156
2018-01-09-11:30:27,-0.034,-0.156
2018-01-09-11:30:32,-0.037,-0.155
2018-01-09-11:30:37,-0.034,-0.155
2018-01-09-11:30:42,-0.035,-0.156
2018-01-09-11:30:47,-0.033,-0.155
2018-01-09-11:30:52,-0.037,-0.155
2018-01-09-11:30:57,-0.034,-0.154
